Time_s   F0_st__200_
14.380776   --undefined--
14.383120   --undefined--
14.385464   --undefined--
14.387807   --undefined--
14.390151   --undefined--
14.392495   --undefined--
14.394839   --undefined--
14.397182   --undefined--
14.399526   --undefined--
14.401870   --undefined--
14.404214   --undefined--
14.406557   --undefined--
14.408901   --undefined--
14.411245   --undefined--
14.413589   --undefined--
14.415932   --undefined--
14.418276   --undefined--
14.420620   23.777284
14.422964   22.501357
14.425307   21.614322
14.427651   21.399517
14.429995   --undefined--
14.432339   --undefined--
14.434682   --undefined--
14.437026   --undefined--
14.439370   --undefined--
14.441714   --undefined--
14.444057   --undefined--
14.446401   --undefined--
14.448745   --undefined--
14.451089   --undefined--
14.453432   --undefined--
14.455776   --undefined--
14.458120   --undefined--
14.460464   --undefined--
14.462807   --undefined--
14.465151   --undefined--
14.467495   --undefined--
14.469839   --undefined--
14.472182   --undefined--
14.474526   --undefined--
14.476870   --undefined--
14.479214   --undefined--
14.481557   --undefined--
14.483901   --undefined--
14.486245   --undefined--
14.488589   --undefined--
14.490932   --undefined--
14.493276   --undefined--
14.495620   --undefined--
14.497964   --undefined--
14.500307   --undefined--
14.502651   --undefined--
14.504995   --undefined--
14.507339   --undefined--
14.509682   --undefined--
14.512026   --undefined--
14.514370   --undefined--
14.516714   --undefined--
14.519057   --undefined--
14.521401   --undefined--
14.523745   --undefined--
14.526089   --undefined--
14.528432   --undefined--
14.530776   --undefined--
14.533120   --undefined--
14.535464   --undefined--
14.537807   --undefined--
14.540151   27.848690
14.542495   26.421652
14.544839   24.057745
14.547182   22.630313
14.549526   21.982269
14.551870   21.767255
14.554214   --undefined--
14.556557   --undefined--
14.558901   --undefined--
14.561245   --undefined--
14.563589   --undefined--
14.565932   --undefined--
14.568276   --undefined--
14.570620   --undefined--
14.572964   --undefined--
14.575307   --undefined--
14.577651   --undefined--
14.579995   --undefined--
14.582339   --undefined--
14.584682   --undefined--
14.587026   --undefined--
14.589370   --undefined--
14.591714   --undefined--
14.594057   --undefined--
14.596401   --undefined--
14.598745   --undefined--
14.601089   --undefined--
14.603432   --undefined--
14.605776   --undefined--
14.608120   --undefined--
14.610464   --undefined--
14.612807   --undefined--
14.615151   --undefined--
14.617495   --undefined--
14.619839   --undefined--
14.622182   --undefined--
14.624526   --undefined--
14.626870   --undefined--
14.629214   --undefined--
14.631557   --undefined--
14.633901   --undefined--
14.636245   --undefined--
14.638589   --undefined--
14.640932   --undefined--
14.643276   --undefined--
14.645620   --undefined--
14.647964   --undefined--
14.650307   --undefined--
14.652651   --undefined--
14.654995   --undefined--
14.657339   --undefined--
14.659682   --undefined--
14.662026   --undefined--
14.664370   --undefined--
14.666714   14.901446
14.669057   14.574440
14.671401   14.780194
14.673745   15.031618
14.676089   15.676039
14.678432   --undefined--
14.680776   --undefined--
14.683120   --undefined--
14.685464   --undefined--
14.687807   --undefined--
14.690151   --undefined--
14.692495   --undefined--
14.694839   --undefined--
14.697182   15.012732
14.699526   14.144313
14.701870   14.850474
14.704214   14.843803
14.706557   15.203004
14.708901   --undefined--
14.711245   --undefined--
14.713589   --undefined--
14.715932   --undefined--
14.718276   --undefined--
14.720620   --undefined--
14.722964   --undefined--
14.725307   --undefined--
14.727651   --undefined--
14.729995   --undefined--
14.732339   --undefined--
14.734682   --undefined--
14.737026   --undefined--
14.739370   --undefined--
14.741714   --undefined--
14.744057   --undefined--
14.746401   --undefined--
14.748745   --undefined--
14.751089   --undefined--
14.753432   --undefined--
14.755776   --undefined--
14.758120   --undefined--
14.760464   --undefined--
14.762807   --undefined--
14.765151   --undefined--
14.767495   --undefined--
14.769839   --undefined--
14.772182   --undefined--
14.774526   --undefined--
14.776870   --undefined--
14.779214   --undefined--
14.781557   --undefined--
14.783901   --undefined--
14.786245   --undefined--
14.788589   27.032072
14.790932   25.076998
14.793276   22.759421
14.795620   22.166476
14.797964   21.323742
14.800307   --undefined--
14.802651   --undefined--
14.804995   --undefined--
14.807339   --undefined--
14.809682   --undefined--
14.812026   --undefined--
14.814370   --undefined--
14.816714   --undefined--
14.819057   --undefined--
14.821401   --undefined--
14.823745   --undefined--
14.826089   --undefined--
14.828432   --undefined--
14.830776   --undefined--
14.833120   21.813310
14.835464   22.382208
14.837807   22.890098
14.840151   21.273195
14.842495   --undefined--
14.844839   --undefined--
14.847182   --undefined--
14.849526   --undefined--
14.851870   --undefined--
14.854214   --undefined--
14.856557   --undefined--
14.858901   --undefined--
14.861245   --undefined--
14.863589   --undefined--
14.865932   --undefined--
14.868276   --undefined--
14.870620   --undefined--
14.872964   --undefined--
14.875307   --undefined--
14.877651   --undefined--
14.879995   --undefined--
14.882339   --undefined--
14.884682   --undefined--
14.887026   --undefined--
14.889370   --undefined--
14.891714   --undefined--
14.894057   --undefined--
14.896401   --undefined--
14.898745   --undefined--
14.901089   --undefined--
14.903432   --undefined--
14.905776   --undefined--
14.908120   --undefined--
14.910464   --undefined--
14.912807   --undefined--
14.915151   --undefined--
14.917495   --undefined--
