Time_s   Intensity_dB
47.227437   23.262473
47.234104   22.358833
47.240771   21.826124
47.247437   21.913126
47.254104   22.191206
47.260771   22.393319
47.267437   21.894099
47.274104   21.291928
47.280771   21.097242
47.287437   20.860509
47.294104   20.975151
47.300771   21.515277
47.307437   22.270454
47.314104   23.053741
47.320771   25.008820
47.327437   27.142864
47.334104   27.621516
47.340771   27.369575
47.347437   26.698030
47.354104   25.497025
47.360771   24.670410
47.367437   24.435927
47.374104   23.600667
47.380771   22.911271
47.387437   28.689005
47.394104   38.828023
47.400771   44.008115
47.407437   44.460225
47.414104   40.859513
47.420771   35.562130
47.427437   32.975340
47.434104   31.743066
47.440771   30.728108
47.447437   30.723526
47.454104   32.684628
47.460771   32.765860
47.467437   29.526022
47.474104   25.708352
47.480771   24.328752
47.487437   23.853697
47.494104   23.326059
47.500771   22.529153
47.507437   21.736909
47.514104   21.283100
47.520771   20.980902
47.527437   20.573934
47.534104   20.407572
47.540771   20.313093
47.547437   20.959454
47.554104   23.368096
47.560771   27.180897
47.567437   30.387025
47.574104   32.262012
47.580771   33.051608
47.587437   33.425739
47.594104   33.475994
47.600771   32.150723
47.607437   29.971251
47.614104   28.212910
47.620771   27.721744
47.627437   27.600773
47.634104   26.517056
47.640771   28.573634
47.647437   37.747171
47.654104   43.013651
47.660771   43.684158
47.667437   40.590296
47.674104   35.866406
47.680771   32.558242
47.687437   30.807957
47.694104   29.953478
47.700771   28.822320
47.707437   27.470206
47.714104   26.467898
47.720771   25.327300
47.727437   23.946816
47.734104   23.018261
47.740771   21.967609
47.747437   20.855907
47.754104   20.270525
47.760771   20.224900
47.767437   20.310291
47.774104   20.820499
47.780771   21.719787
47.787437   21.992204
47.794104   21.687548
47.800771   28.499727
47.807437   38.121647
47.814104   42.613044
47.820771   42.396995
47.827437   38.573321
47.834104   34.518508
47.840771   32.243668
47.847437   30.327352
47.854104   29.568834
47.860771   30.290674
47.867437   29.965518
47.874104   27.639758
47.880771   25.661673
47.887437   24.896589
47.894104   24.334605
47.900771   23.484639
47.907437   22.084367
47.914104   21.059244
47.920771   20.694735
47.927437   20.584930
47.934104   20.682630
47.940771   21.144839
47.947437   21.514498
47.954104   21.631680
47.960771   21.772482
47.967437   21.060347
47.974104   20.540013
47.980771   20.751224
47.987437   21.538562
47.994104   22.286251
48.000771   22.447038
48.007437   22.047113
48.014104   21.764729
48.020771   21.738714
48.027437   21.209383
48.034104   23.359553
48.040771   34.676035
48.047437   41.824339
48.054104   43.923126
48.060771   41.647400
48.067437   36.693326
48.074104   33.688978
48.080771   32.826173
48.087437   33.427253
48.094104   32.981308
48.100771   30.297895
48.107437   27.618163
48.114104   25.949364
48.120771   24.622926
48.127437   23.775427
48.134104   23.275032
48.140771   22.318475
48.147437   20.840306
48.154104   19.969428
48.160771   19.796739
48.167437   20.316714
48.174104   21.142269
48.180771   21.527894
48.187437   21.240487
48.194104   20.739829
48.200771   20.484992
48.207437   20.951458
48.214104   22.589722
48.220771   23.323243
48.227437   22.100954
48.234104   21.030939
48.240771   21.354331
48.247437   21.259293
48.254104   20.829830
48.260771   20.817116
48.267437   20.444973
48.274104   20.047899
48.280771   20.873235
48.287437   21.818993
48.294104   22.035619
48.300771   21.887844
48.307437   21.769752
48.314104   24.081831
48.320771   34.829708
48.327437   42.374247
48.334104   44.898390
48.340771   43.127106
48.347437   38.547166
48.354104   35.197237
48.360771   33.776857
48.367437   33.200721
48.374104   33.446755
48.380771   32.262260
48.387437   30.030303
48.394104   28.116193
48.400771   26.205078
48.407437   24.985047
48.414104   24.408672
48.420771   23.927344
48.427437   23.512059
48.434104   22.716379
48.440771   22.019512
48.447437   21.817770
48.454104   21.830347
48.460771   21.475528
48.467437   21.270478
48.474104   21.521755
48.480771   21.393312
48.487437   20.737494
48.494104   20.360903
48.500771   21.014201
48.507437   21.939669
48.514104   22.291406
48.520771   22.023011
48.527437   21.801641
48.534104   21.818402
48.540771   21.478960
48.547437   21.018222
48.554104   21.470102
48.560771   21.767426
48.567437   21.841074
48.574104   22.523810
48.580771   30.558782
48.587437   39.810365
48.594104   43.965559
48.600771   43.547792
48.607437   39.467259
48.614104   35.274381
48.620771   33.729888
48.627437   32.254874
48.634104   32.130645
48.640771   32.483769
48.647437   30.688555
48.654104   27.713070
48.660771   25.746649
48.667437   24.127497
48.674104   22.717183
48.680771   21.880518
48.687437   21.660016
48.694104   21.297748
48.700771   20.424955
48.707437   19.470675
48.714104   19.503428
48.720771   20.042862
48.727437   19.946550
48.734104   20.111055
48.740771   20.739729
48.747437   20.777238
48.754104   20.192202
48.760771   19.840047
48.767437   19.934942
48.774104   20.331380
48.780771   20.796099
48.787437   21.618090
48.794104   24.161879
48.800771   28.129127
48.807437   31.129395
48.814104   32.997490
48.820771   33.611444
48.827437   32.453611
48.834104   30.537394
48.840771   29.442234
48.847437   28.808848
48.854104   33.771642
48.860771   41.378204
48.867437   44.477059
48.874104   43.214836
48.880771   38.903494
48.887437   35.061513
48.894104   33.521290
48.900771   34.193892
48.907437   34.375591
48.914104   32.122494
48.920771   29.145193
48.927437   27.387677
48.934104   26.220164
48.940771   24.791333
48.947437   23.263059
48.954104   22.753816
48.960771   22.401093
48.967437   22.029201
48.974104   22.341206
48.980771   22.763385
48.987437   22.716306
48.994104   22.266618
49.000771   22.110308
49.007437   22.478018
49.014104   22.605042
49.020771   22.015934
49.027437   21.640551
49.034104   21.696091
49.040771   21.825240
49.047437   22.056866
49.054104   22.133213
49.060771   21.932467
49.067437   21.483780
49.074104   21.021499
49.080771   20.566066
49.087437   21.283444
49.094104   21.950225
49.100771   21.514330
49.107437   21.297855
49.114104   23.485100
49.120771   34.454447
49.127437   42.549567
49.134104   45.435900
49.140771   43.817179
49.147437   38.985805
49.154104   34.552389
49.160771   32.519790
49.167437   32.648741
49.174104   34.555405
49.180771   34.444797
49.187437   31.432332
49.194104   28.201677
49.200771   26.594763
49.207437   25.615384
49.214104   24.683147
49.220771   23.205048
49.227437   21.686274
49.234104   20.727774
49.240771   20.308176
49.247437   20.496023
49.254104   20.954514
49.260771   20.765987
49.267437   20.497179
49.274104   20.656127
49.280771   21.186671
49.287437   21.429366
49.294104   21.168415
49.300771   20.888678
49.307437   20.552927
49.314104   20.598317
49.320771   20.999807
49.327437   20.953816
49.334104   20.656599
49.340771   20.170129
49.347437   20.012805
49.354104   20.618014
49.360771   20.812704
49.367437   20.750319
49.374104   28.528321
49.380771   38.922552
49.387437   44.087668
49.394104   44.553234
49.400771   41.053567
49.407437   35.990410
49.414104   33.088787
49.420771   31.296356
49.427437   29.848401
49.434104   28.253976
49.440771   27.072863
49.447437   26.158561
49.454104   25.340774
49.460771   24.718277
49.467437   25.403085
49.474104   26.646211
49.480771   27.491636
49.487437   27.617584
49.494104   27.583355
49.500771   27.902786
49.507437   28.179481
49.514104   27.937029
49.520771   27.298320
49.527437   31.671234
49.534104   39.641475
49.540771   43.330640
49.547437   42.406646
49.554104   37.716525
49.560771   33.013207
49.567437   31.285719
49.574104   31.598007
49.580771   31.677546
49.587437   29.902180
49.594104   27.719627
49.600771   26.378052
49.607437   25.498034
49.614104   24.922166
49.620771   23.799186
49.627437   22.422287
49.634104   21.111101
49.640771   20.415978
49.647437   20.940543
49.654104   21.705612
49.660771   22.785367
49.667437   24.664471
49.674104   26.549213
49.680771   27.755579
49.687437   28.343612
49.694104   28.436531
49.700771   28.355943
49.707437   28.189897
49.714104   27.864147
49.720771   27.662359
49.727437   28.062429
49.734104   28.851525
49.740771   29.332454
49.747437   28.926518
49.754104   27.606117
49.760771   25.767180
49.767437   23.647449
49.774104   22.120511
49.780771   21.479803
49.787437   21.547792
49.794104   31.903307
49.800771   41.219594
49.807437   45.265222
49.814104   44.761447
49.820771   40.581223
49.827437   35.985309
49.834104   34.137447
49.840771   34.537478
49.847437   35.490860
49.854104   34.379090
49.860771   34.061592
49.867437   36.394575
49.874104   37.330553
49.880771   37.215675
49.887437   37.024002
49.894104   36.358096
49.900771   35.207424
49.907437   33.283235
49.914104   31.639974
49.920771   31.042497
49.927437   30.188168
49.934104   28.613136
49.940771   27.502905
49.947437   27.406810
49.954104   27.168992
49.960771   26.680338
49.967437   26.117977
49.974104   25.814749
49.980771   25.996380
49.987437   25.618032
49.994104   24.922571
50.000771   24.532558
50.007437   24.505716
50.014104   24.504393
50.020771   24.459565
50.027437   25.206674
50.034104   26.424669
50.040771   27.186048
50.047437   30.899806
50.054104   40.352521
50.060771   45.855592
50.067437   46.571896
50.074104   43.097909
50.080771   38.471971
50.087437   37.740064
50.094104   36.661134
50.100771   34.588810
50.107437   35.928280
50.114104   36.982970
50.120771   34.708718
50.127437   31.021850
50.134104   28.824982
50.140771   27.300317
50.147437   26.138756
50.154104   25.109725
50.160771   24.520732
50.167437   24.440597
50.174104   24.190007
50.180771   23.855896
50.187437   23.936917
50.194104   24.369963
50.200771   24.848865
50.207437   25.420669
50.214104   26.143424
50.220771   26.936599
50.227437   27.761255
50.234104   28.523684
50.240771   29.041968
50.247437   29.338565
50.254104   29.622128
50.260771   29.890045
50.267437   30.004553
50.274104   29.729026
50.280771   29.180684
50.287437   28.218173
50.294104   26.622768
50.300771   24.784846
50.307437   23.421633
50.314104   22.808818
50.320771   22.721663
50.327437   22.718695
50.334104   22.635660
50.340771   30.114763
50.347437   39.592942
50.354104   44.103743
50.360771   44.148382
50.367437   40.712243
50.374104   36.840389
50.380771   34.711761
50.387437   32.686938
50.394104   30.936211
50.400771   30.907369
50.407437   30.875921
50.414104   29.470570
50.420771   27.590636
50.427437   26.123438
50.434104   24.826406
50.440771   23.656700
50.447437   23.040123
50.454104   23.010647
50.460771   23.178103
50.467437   22.982011
50.474104   22.429400
50.480771   22.027962
50.487437   22.062337
50.494104   22.330457
50.500771   22.675128
50.507437   23.223238
50.514104   23.288142
50.520771   23.306208
50.527437   23.206495
50.534104   22.586387
50.540771   22.402628
50.547437   22.569626
50.554104   22.923741
50.560771   22.549123
50.567437   22.129387
50.574104   22.276184
50.580771   28.270246
50.587437   38.369830
50.594104   43.401137
50.600771   43.652394
50.607437   40.007307
50.614104   35.195731
50.620771   32.269520
50.627437   30.949665
50.634104   30.542841
50.640771   29.464868
50.647437   28.039589
50.654104   26.803801
50.660771   25.451602
50.667437   23.866052
50.674104   22.854539
50.680771   22.617507
50.687437   21.866177
50.694104   21.097903
50.700771   21.647637
50.707437   22.719797
50.714104   23.182987
50.720771   23.029887
50.727437   22.245559
50.734104   21.153314
50.740771   20.643279
50.747437   21.040487
50.754104   21.350714
50.760771   21.270152
50.767437   21.403892
50.774104   21.568492
50.780771   21.354646
50.787437   21.294625
50.794104   21.370221
50.800771   21.505982
50.807437   22.307280
50.814104   22.585121
50.820771   22.055023
50.827437   23.836161
50.834104   34.224386
50.840771   41.579278
50.847437   44.005576
50.854104   42.150408
50.860771   37.393052
50.867437   33.867747
50.874104   32.362642
50.880771   30.987973
50.887437   29.714522
50.894104   28.851159
50.900771   27.612116
50.907437   26.193290
50.914104   25.353835
50.920771   24.486796
50.927437   23.439255
50.934104   22.882573
50.940771   22.323619
50.947437   21.951778
50.954104   21.573176
50.960771   21.199906
50.967437   21.525287
50.974104   22.230528
50.980771   22.437406
50.987437   22.287369
50.994104   28.781032
51.000771   38.230339
51.007437   42.823945
51.014104   42.888659
51.020771   39.400920
51.027437   35.521698
51.034104   33.265684
51.040771   31.013982
51.047437   29.516091
51.054104   29.498698
51.060771   30.220158
51.067437   29.243674
51.074104   26.732364
51.080771   24.934220
51.087437   24.028341
51.094104   23.467991
51.100771   22.539519
51.107437   22.047423
51.114104   22.269731
51.120771   22.117662
51.127437   21.838701
51.134104   22.256965
51.140771   22.367474
51.147437   21.967329
51.154104   21.903070
51.160771   21.715257
51.167437   21.265132
51.174104   20.851916
51.180771   20.504886
51.187437   20.634164
51.194104   21.403500
51.200771   21.705574
51.207437   21.614558
51.214104   21.976253
51.220771   21.968474
51.227437   21.477420
51.234104   21.114671
51.240771   27.963028
51.247437   38.334511
51.254104   43.582445
51.260771   44.379913
51.267437   41.867602
51.274104   38.402565
51.280771   35.749160
51.287437   33.521965
51.294104   32.239250
51.300771   30.859974
51.307437   30.876105
51.314104   32.104893
51.320771   30.979763
51.327437   27.648290
51.334104   25.175394
51.340771   24.060653
51.347437   23.208051
51.354104   22.784424
51.360771   22.395981
51.367437   21.960066
51.374104   21.654815
51.380771   21.405033
51.387437   21.529099
51.394104   21.816229
51.400771   21.739082
51.407437   21.291695
51.414104   21.061273
51.420771   20.966841
51.427437   20.898499
51.434104   21.210579
51.440771   22.246418
51.447437   22.758316
51.454104   22.112373
51.460771   21.309310
51.467437   21.533888
51.474104   21.706500
51.480771   21.213017
51.487437   21.127362
51.494104   21.624561
51.500771   21.830325
51.507437   21.396983
51.514104   21.293441
51.520771   29.011458
51.527437   39.592514
51.534104   44.951122
51.540771   45.755833
51.547437   42.974003
51.554104   38.982632
51.560771   35.912096
51.567437   33.197408
51.574104   32.157018
51.580771   31.124786
51.587437   30.074723
51.594104   28.950253
51.600771   27.474060
51.607437   26.090167
51.614104   25.163208
51.620771   24.149214
51.627437   22.631808
51.634104   21.453458
51.640771   20.913200
51.647437   21.138430
51.654104   21.593139
51.660771   21.273982
51.667437   20.709661
51.674104   20.801939
51.680771   20.509523
51.687437   19.886905
51.694104   20.044682
51.700771   20.521302
51.707437   20.960383
51.714104   21.191575
51.720771   20.911190
51.727437   20.108940
51.734104   20.009689
51.740771   20.277825
51.747437   19.575576
51.754104   19.372443
51.760771   19.937504
51.767437   20.182317
51.774104   22.483612
51.780771   33.704449
51.787437   41.830338
51.794104   44.803927
51.800771   43.420855
51.807437   39.105099
51.814104   35.823403
51.820771   35.136927
51.827437   34.480118
51.834104   32.840314
51.840771   31.382500
51.847437   30.655169
51.854104   29.634197
51.860771   28.147570
51.867437   26.967988
51.874104   25.855768
51.880771   24.502801
51.887437   23.044246
51.894104   21.617577
51.900771   20.968843
51.907437   21.309852
51.914104   21.597859
51.920771   21.637006
51.927437   21.859197
51.934104   22.085832
51.940771   21.907301
51.947437   21.409136
51.954104   21.060676
51.960771   21.300708
51.967437   21.498349
51.974104   21.402907
51.980771   21.140410
51.987437   21.049624
51.994104   21.330375
52.000771   21.036342
52.007437   21.117644
52.014104   22.514035
52.020771   23.448476
52.027437   23.037014
52.034104   21.735925
52.040771   21.012443
52.047437   21.328304
